0,2,61671,61675,61679
0,1,61680,61684,61688
0,2,61697,61701,61705
1,1,61705,61708,61738
0,2,61739,61743,61747
0,1,61758,61762,61766
0,2,61993,61997,62001
1,1,65530,65533,65564
1,1,65570,65572,65602
0,2,65606,65610,65614
0,1,65626,65631,65634
0,2,65681,65685,65689
0,1,65691,65695,65699
1,2,66222,66225,66235
0,1,66285,66289,66293
0,2,66295,66299,66303
1,1,66305,66308,66338
1,2,66365,66367,66377
0,1,66386,66390,66394
0,2,66407,66411,66415
0,2,66417,66421,66425
1,1,66471,66475,66505
1,2,66560,66562,66572
1,1,66572,66576,66606
0,2,66613,66617,66621
1,1,66679,66682,66712
1,2,66855,66857,66867
1,1,66889,66892,66922
0,1,66929,66933,66937
0,2,67090,67094,67098
0,2,67104,67108,67112
0,1,67112,67116,67120
1,2,67142,67146,67156
1,1,67175,67177,67207
1,1,67212,67214,67244
1,2,67375,67377,67387
0,1,67408,67412,67416
1,2,67542,67544,67554
1,1,67644,67646,67676
0,2,67992,67996,68000
1,1,68013,68015,68045
1,2,68045,68047,68057
1,2,68148,68151,68161
1,1,68252,68254,68284
1,1,68284,68286,68316
0,2,68318,68322,68326
0,2,68350,68354,68358
0,1,68406,68410,68414
0,1,68425,68429,68433
1,2,68442,68444,68454
0,1,68472,68476,68480
0,2,68489,68493,68497
1,2,68866,68870,68880
1,1,68902,68904,68934
0,1,69025,69030,69034
0,2,69034,69038,69042
0,1,69043,69047,69051
0,2,69073,69077,69081
0,2,69175,69179,69183
0,1,69209,69213,69217
0,2,69372,69376,69380
1,1,69414,69417,69447
0,2,69497,69501,69505
0,1,69508,69512,69516
0,1,69539,69543,69547
0,2,69703,69707,69711
0,2,69810,69814,69818
0,1,69821,69825,69829
0,2,69837,69841,69845
0,1,69854,69858,69862
0,2,69864,69868,69872
1,1,69998,70000,70030
1,1,70057,70059,70089
0,2,70116,70120,70124
0,1,70396,70400,70404
1,2,70410,70412,70422
0,1,70429,70433,70437
0,2,70443,70447,70451
1,1,70479,70481,70511
0,2,70586,70590,70594
0,2,70640,70644,70648
1,1,70725,70727,70757
0,1,70933,70937,70941
1,2,70986,70988,70998
0,1,71016,71020,71024
1,2,71212,71214,71224
0,2,71254,71258,71262
0,1,71262,71266,71270
0,1,71274,71278,71282
0,2,71297,71301,71305
0,1,71383,71387,71391
